FirstIngredient,SecondIngredient,RightHand
granulated sugar, meringue powder,all-purpose flour
granulated sugar, meringue powder,unsalted butter
baking soda, old-fashioned oats,all-purpose flour
granulated sugar, sanding sugar,unsalted butter
mini marshmallows, pure vanilla extract,unsalted butter
vanilla extract, white sugar,all-purpose flour
coconut extract, vanilla extract,unsalted butter
freshly ground pepper, gruyere cheese,extra-virgin olive oil
crystallized ginger, ground ginger,all-purpose flour
crystallized ginger, ground ginger,unsalted butter
baking soda, crystallized ginger,all-purpose flour
crystallized ginger, ground cinnamon,all-purpose flour
baking soda, brewed coffee,all-purpose flour
baking soda, brewed coffee,unsalted butter
brewed coffee, granulated sugar,all-purpose flour
brewed coffee, granulated sugar,unsalted butter
canola oil, spicy brown mustard,ground black pepper
granulated sugar, unflavored gelatin,heavy cream
cream cheese, graham cracker crumbs,vanilla extract
graham cracker crumbs, vanilla extract,cream cheese
cream cheese, graham cracker crumbs,unsalted butter
graham cracker crumbs, unsalted butter,cream cheese
graham cracker crumbs, vanilla extract,unsalted butter
graham cracker crumbs, unsalted butter,vanilla extract
table salt, vanilla extract,granulated sugar
granulated sugar, table salt,vanilla extract
table salt, vanilla extract,baking powder
table salt, vanilla extract,all-purpose flour
table salt, vanilla extract,unsalted butter
granulated sugar, table salt,all-purpose flour
granulated sugar, table salt,unsalted butter
pecan halves, vanilla extract,unsalted butter
granulated sugar, pecan halves,unsalted butter
ground cumin, kidney beans,chili powder
chicken stock, long-grain rice,ground black pepper
baking soda, red food coloring,unsweetened cocoa powder
baking soda, red food coloring,cream cheese
red food coloring, vanilla extract,cream cheese
baking soda, red food coloring,vanilla extract
red food coloring, vanilla extract,baking soda
baking soda, red food coloring,granulated sugar
granulated sugar, red food coloring,baking soda
baking soda, red food coloring,large eggs
baking soda, red food coloring,all-purpose flour
baking soda, red food coloring,unsalted butter
red food coloring, vanilla extract,granulated sugar
granulated sugar, red food coloring,vanilla extract
red food coloring, vanilla extract,baking powder
red food coloring, vanilla extract,large eggs
red food coloring, vanilla extract,all-purpose flour
red food coloring, vanilla extract,unsalted butter
granulated sugar, red food coloring,large eggs
granulated sugar, red food coloring,all-purpose flour
granulated sugar, red food coloring,unsalted butter
baking soda, milk chocolate,all-purpose flour
baking soda, milk chocolate,unsalted butter
milk chocolate, vanilla extract,heavy cream
milk chocolate, vanilla extract,all-purpose flour
milk chocolate, vanilla extract,unsalted butter
granulated sugar, milk chocolate,all-purpose flour
granulated sugar, milk chocolate,unsalted butter
chile de arbol, ground coriander,ground cumin
chile de arbol, ground cumin,ground coriander
chile de arbol, ground coriander,ground black pepper
chile de arbol, ground cumin,ground black pepper
canola oil, chile de arbol,kosher salt
canola oil, chile de arbol,ground black pepper
instant espresso powder, pure vanilla extract,semisweet chocolate
